block_id,block_code,block_name,block_seq,shift
A109441,,,1,1
A109442,,,1,2
A113317,,,1,1
A113348,,,1,1
A113349,,,1,2
A113634,,,1,1
A113635,,,1,2
A113698,,,1,1
A113699,,,1,2
A113714,,,2,1
A113715,,,2,2
A113738,,,1,1
A113739,,,1,2
A120058,,,1,1
A120059,,,1,2
A120060,,,2,1
A120061,,,2,2
A120985,,,1,2
A120986,,,2,2
A120987,,,1,2
A120988,,,2,2
A124141,,,1,1
A124142,,,1,2
A124143,,,2,1
A124360,,,1,1
A124656,,,1,1
A124657,,,1,2
A124670,,,1,1
A124671,,,1,2
A124979,,,1,1
A124980,,,1,2
A124981,,,2,1
A124982,,,2,2
A124983,,,3,1
A124984,,,3,2
A124985,,,4,1
A124986,,,4,2
A125738,,,1,1
A125739,,,1,2
A125754,,,1,1
A125755,,,1,2
A125756,,,2,1
A125757,,,2,2
A125758,,,1,1
A125759,,,1,2
A125760,,,2,1
A125761,,,2,2
A127074,,,1,1
A127075,,,1,2
A127076,,,2,1
A127077,,,2,2
A127982,,,1,1
A127983,,,1,2
A127984,,,2,1
A127985,,,2,2
A127986,,,3,1
A127987,,,4,1
A127988,,,4,2
A130081,,,1,1
A130082,,,1,2
A130083,,,2,1
A130084,,,2,2
A130261,,,1,1
A130262,,,1,2
A130263,,,2,1
A130264,,,2,2
A130265,,,3,1
A130266,,,3,2
A130267,,,4,1
A130268,,,4,2
A130269,,,5,1
A130270,,,5,2
A130594,,,1,1
A130595,,,1,2
A130596,,,2,1
A130597,,,2,2
A130644,,,1,1
A130645,,,1,2
A130646,,,2,1
A130647,,,2,2
A130648,,,3,1
A130649,,,3,2
A130831,,,1,1
A130832,,,1,2
A130833,,,2,1
A130834,,,2,2
A130835,,,3,1
A130836,,,3,2
A130837,,,4,1
A130838,,,4,2
A130873,,,1,1
A130874,,,1,2
A130875,,,2,1
A130876,,,2,2
A130877,,,3,1
A130878,,,3,2
A130879,,,4,1
A130880,,,4,2
A130881,,,5,1
A130882,,,5,2
A130883,,,6,1
A130884,,,6,2
A130885,,,7,1
A130886,,,7,2
A130925,,,1,1
A130926,,,1,2
A130927,,,2,1
A130928,,,2,2
A130929,,,1,1
A130930,,,1,2
A130931,,,2,1
A130932,,,2,2
A130987,,,1,1
A130988,,,1,2
A130989,,,2,1
A130990,,,2,2
A130991,,,3,1
A130992,,,3,2
A130993,,,4,1
A130994,,,4,2
A130995,,,5,1
A130996,,,5,2
A131800,,,1,1
A131801,,,1,2
A131802,,,2,1
A131803,,,2,2
A131804,,,3,1
A131805,,,3,2
A131806,,,4,1
A131807,,,4,2
A132054,,,1,1
A132055,,,1,2
A132056,,,2,1
A132057,,,2,2
A132058,,,3,1
A132059,,,3,2
A132060,,,4,1
A132061,,,4,2
A132062,,,5,1
A132063,,,5,2
A132064,,,6,1
A132065,,,6,2
A132066,,,7,1
A132067,,,7,2
A132368,,,1,1
A132369,,,1,2
A132370,,,2,1
A132371,,,2,2
A132372,,,3,1
A132373,,,3,2
A132378,,,1,1
A132379,,,1,2
A132380,,,2,1
A132381,,,2,2
A132382,,,3,1
A132383,,,3,2
A132384,,,4,1
A132385,,,4,2
A132386,,,5,1
A132387,,,5,2
A132388,,,6,1
A132389,,,6,2
A132390,,,1,1
A132391,,,1,2
A132392,,,1,1
A132393,,,1,2
A132394,,,2,1
A132395,,,2,2
A132396,,,1,1
A132397,,,1,2
A132398,,,2,1
A132399,,,2,2
A132400,,,1,1
A132457,,,1,1
A132458,,,1,2
A132459,,,2,1
A132460,,,2,2
A132461,,,3,1
A132462,,,3,2
A132463,,,4,1
A132464,,,4,2
A132465,,,5,1
A132466,,,5,2
A132467,,,6,1
A132468,,,6,2
A132469,,,7,1
A132470,,,7,2
A132498,,,1,1
A132499,,,1,2
A132500,,,2,1
A132501,,,2,2
A132520,,,1,1
A132521,,,1,2
A132522,,,2,1
A132523,,,2,2
A132524,,,3,1
A132525,,,3,2
A132526,,,4,1
A132527,,,4,2
A132528,,,5,1
A132529,,,5,2
A132530,,,6,1
A132531,,,6,2
A132532,,,7,1
A132533,,,7,2
A132534,,,8,1
A132535,,,8,2
A132536,,,9,1
A132537,,,9,2
A132538,,,1,1
A132539,,,1,2
A132540,,,2,1
A132541,,,2,2
A132542,,,3,1
A132543,,,3,2
A132544,,,4,1
A132545,,,4,2
A132546,,,5,1
A132547,,,5,2
A132548,,,6,1
A132549,,,6,2
A132550,,,7,1
A132551,,,7,2
A132552,,,8,1
A132553,,,8,2
A132554,,,9,1
A132555,,,9,2
A132556,,,10,1
A132557,,,10,2
A132558,,,11,1
A132559,,,11,2
A132560,,,12,1
A132561,,,12,2
A132562,,,13,1
A132563,,,13,2
A132564,,,14,1
A132565,,,14,2
A132566,,,1,1
A132567,,,1,2
A132568,,,2,1
A132575,,,1,1
A132576,,,1,2
A132577,,,1,1
A132578,,,1,2
A132579,,,1,1
A132597,,,1,1
A132598,,,1,2
A132599,,,1,1
A132600,,,1,2
A132601,,,1,1
A132602,,,1,2
A132603,,,2,1
A132604,,,2,2
A132693,,,1,1
A132694,,,1,2
A132695,,,2,1
A132696,,,2,2
A132704,,,1,1
A132705,,,1,2
A132706,,,2,1
A132707,,,2,2
A132708,,,1,1
A132709,,,1,2
A132710,,,2,1
A132711,,,2,2
A132712,,,3,1
A132713,,,3,2
A132726,,,1,1
A132727,,,1,2
A132728,,,2,1
A132729,,,2,2
A132730,,,3,1
A132731,,,3,2
A132732,,,4,1
A132733,,,4,2
A132734,,,5,1
A132735,,,5,2
A132736,,,6,1
A132737,,,6,2
A132738,,,7,1
A132739,,,7,2
A132740,,,8,1
A132741,,,8,2
A132742,,,9,1
A132743,,,9,2
A132744,,,10,1
A132745,,,10,2
A132746,,,11,1
A132747,,,11,2
A132748,,,12,1
A132749,,,12,2
A132750,,,1,1
A132751,,,1,2
A132752,,,2,1
A132753,,,2,2
A132754,,,3,1
A132755,,,3,2
A132756,,,4,1
A132757,,,4,2
A132758,,,5,1
A132759,,,5,2
A132760,,,6,1
A132761,,,6,2
A132762,,,1,1
A132763,,,1,2
A132764,,,2,1
A132765,,,2,2
A132770,,,1,1
A132771,,,1,1
A132773,,,1,1
A132774,,,1,2
A132775,,,2,1
A132776,,,2,2
A132777,,,1,1
A132778,,,1,2
A132779,,,1,1
A132780,,,2,1
A132781,,,2,2
A132782,,,3,1
A132783,,,4,1
A132784,,,4,2
A132785,,,1,1
A132786,,,1,2
A132787,,,2,1
A132788,,,1,1
A132789,,,1,2
A132790,,,2,1
A132791,,,3,1
A132792,,,3,2
A132796,,,1,1
A132797,,,1,2
A132798,,,1,1
A132799,,,1,2
A132800,,,2,1
A132806,,,1,1
A132807,,,1,2
A132808,,,2,1
A132809,,,2,2
A132810,,,1,1
A132811,,,1,2
A132812,,,2,1
A132813,,,2,2
A132814,,,3,1
A132815,,,3,2
A132816,,,1,1
A132905,,,1,1
A132906,,,1,2
A132926,,,1,1
A132927,,,1,2
A132928,,,2,1
A132929,,,2,2
A132930,,,3,1
A132931,,,3,2
A132932,,,4,1
A132933,,,4,2
A132934,,,5,1
A132935,,,5,2
A132936,,,6,1
A132937,,,6,2
A132938,,,7,1
A132939,,,7,2
A132940,,,8,1
A132941,,,8,2
A132942,,,1,1
A132943,,,1,2
A132944,,,2,1
A132945,,,2,2
A132946,,,3,1
A132947,,,3,2
A132948,,,4,1
A132949,,,4,2
A132950,,,5,1
A132951,,,5,2
A132952,,,6,1
A132953,,,6,2
A132954,,,7,1
A132955,,,7,2
A132978,,,1,1
A132979,,,1,2
A132980,,,2,1
A132981,,,2,2
A132982,,,3,1
A132983,,,3,2
A132984,,,4,1
A132985,,,4,2
A133019,,,1,1
A133020,,,1,2
A133105,,,1,1
A133106,,,1,2
A133110,,,1,1
A133111,,,1,2
A133112,,,1,1
A133140,,,1,1
A133141,,,1,2
A133142,,,2,1
A133143,,,2,2
A133144,,,3,1
A133145,,,3,2
A133236,,,1,1
A133237,,,1,2
A133238,,,2,1
A133239,,,2,2
A133240,,,3,1
A133241,,,3,2
A133242,,,1,1
A133243,,,1,2
A133282,,,1,1
A133283,,,1,2
A133284,,,2,1
A133285,,,2,2
A133286,,,3,1
A133287,,,4,1
A133288,,,4,2
A133289,,,1,1
A133290,,,1,2
A133291,,,2,1
A133355,,,1,1
A133356,,,1,2
A133357,,,2,1
A133358,,,2,2
A133359,,,3,1
A133360,,,3,2
A133427,,,1,1
A133428,,,1,2
A133429,,,2,1
A133430,,,2,2
A133431,,,3,1
A133432,,,3,2
A133653,,,1,1
A133654,,,1,2
A133655,,,2,1
A133656,,,2,2
A133675,,,1,1
A133676,,,1,2
A133677,,,2,1
A133678,,,2,2
A133679,,,1,1
A133680,,,1,2
A133681,,,2,1
A133682,,,2,2
A133683,,,3,1
A133684,,,4,1
A133685,,,4,2
A133686,,,5,1
A133687,,,5,2
A133703,,,1,1
A133704,,,1,2
A133705,,,2,1
A133706,,,3,1
A133707,,,3,2
A133708,,,4,1
A133709,,,4,2
A133715,,,1,1
A133716,,,1,2
A133717,,,2,1
A133718,,,3,1
A133719,,,3,2
A133752,,,1,1
A133753,,,1,2
A133754,,,2,1
A133755,,,2,2
A133756,,,1,1
A133757,,,1,2
A133758,,,2,1
A133759,,,2,2
A133760,,,3,1
A133761,,,3,2
A133767,,,1,1
A133768,,,1,2
A133769,,,2,1
A133783,,,1,1
A133784,,,1,2
A133785,,,2,1
A133786,,,2,2
A133797,,,1,1
A133798,,,1,2
A133799,,,2,1
A133800,,,2,2
