route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
A2,1576,1,ст.м. Голосіївська-Одеська пл. (вул. Заболотного,??? - ст.м. "Голосіївська"-Одеська пл. (вул. Академіка Заболотного),3
A4,1576,100,Автопарк № 6 - площа Шевченка(вул. Сошенка),??? - Автопарк № 6 - площа Шевченка(вул. Сошенка),3
A6,1576,101,ст. м. "Петрівка" - вул. Милославська,??? - ст. м. "Почайна" - вул. Милославська (до вул. Радунська),3
A7,1576,102,масив Виноградар - кінотеатр "Братислава",??? - масив Виноградар - кінотеатр "Братислава",3
A9,1576,104,ст.м. Харківська - с. Бортничі (ФАП),??? - ст.м. Харківська - Мікрорайон  "Бортничі",3
A12,1576,108,вул. А. Шептицького - ст. м.Харківська,??? - вул.Митрополита Андрея Шептицького -ст. м.Харківська,3
A13,1576,11,ст.м. "Лісова"  -  Радіоцентр (с. Биківня),??? - ст.м. "Лісова"  -  Радіоцентр (с. Биківня),3
A385,1576,114,вул. Милославська- залізнич.  вокзал Центральний,??? - вул. Милославська - залізничний вокзал Центральний ,3
A387,1576,114а,вул. Милославська-залізничний вокзал Центральний,??? - вул. Милославська - залізничний вокзал Центральний,3
A309,1576,115,Будинок культури - Контрактова пл.,??? - Залізничний вокзал Дарниця - Контрактова пл.,3
A16,1576,117,м. Лівобережна - Русанівські сади,??? - м. Лівобережна - Русанівські сади,3
A17,1576,118,ст. м. Чернігівська - ст.м. Політехніч. інстит,??? - ст. м. Чернігівська -  ст.м. Політехнічний інститут,3
A18,1576,119,вул. Смолича - Контрактова пл.,??? - вул. В. Касіяна - Контрактова пл.,3
A1,1576,11д,ст. м. "Лісова" - Дачне містечко,??? - ст.м. Лісова - Дачне містечко "Сосновий Бор",3
A20,1576,12,вул. Ізюмська - вул.Олексіївська,??? - вул. Ізюмська - Залізничний вокзал Південний,3
A423,1576,137Н,Залізничний вокзал-ст.м. Харківська,??? - Залізничний вокзал Центральний - ст.м. Харківська,3
A25,1576,14,ст.м."Нивки "- Лісорозсадник,??? - ст.м."Нивки "- Лісорозсадник,3
A15,1576,17,ст.м. Харківська- вул.Драгоманова,??? - ст. м. Харківська - вул. Драгоманова,3
A34,1576,18,ст.м. "Харківська" - Харківське шосе,??? - ст.м. "Харківська" - Харківське шосе,3
A36,1576,19,вул. Ізюмська-ст.м.Васильківська,??? - вул. Ізюмська -ст.м.Васильківська,3
A39,1576,2,вул.Булгакова - вул.Шолуденка,??? - вул.Булгакова - вул. Шолуденка,3
A40,1576,20,ст.м. "пл.Л.Толстого" - житловий масив Корчувате,??? - ст.м. "Площа Льва Толстого" - житловий масив Корчувате,3
A49,1576,21,ст. м. "Петрівка" - вул. Милославська,??? - ст. м. "Почайна" - вул. Милославська,3
A52,1576,23,вул.Симиренко - вул. Салютна,??? - вул.Симиренко - ст.м. Нивки,3
A54,1576,24,Музей  історії Ввв - зал. вокзал Центральний,??? - Музей історії України у Другій світовій війні - Залізничний вокзал "Центральний",3
A299,1576,24А,Музей історії україни  -Залізничний вокзал,??? - Музей історії України у Другій світовій війні -Залізничний вокзал "Центральний",3
A158,1576,258,ст. м. Лісова - Північне кладовище,??? - ст. м. Лісова - Північне кладовище,3
