stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
A10,ст.м. "Оболонь",50.501583,30.501204,,0,
B725,м. Лісова 2,50.46685,30.64549,,0,
A13,вул. Сошенка,50.521172,30.447716,,0,
A15,с. ДВС,50.566841,30.466236,,0,
A16,ст.м. "Героїв Дніпра",50.522644,30.495888,,0,
A17,Лікарня,50.543282,30.485081,,0,
A18,вул. Бальзака,50.506863,30.585138,,0,
A19,храм Св-Трійці,50.501503,30.57671,,0,
A21,вул. Північна,50.528389,30.516306,,0,
A22,пр. Московський,50.488068,30.526882,,0,
A23,Рибальський п-ов,50.475525,30.531303,,0,
A24,Диагностичний центр,50.525402,30.462305,,0,
A25,вул.П.Калнишевського,50.518028,30.464136,,0,
A259,вул. Світлицького,50.508644,30.426537,,0,
A26,ст.м. "Мінська",50.512039,30.496675,,0,
A260,пл. Петропавлівська,50.493626,30.461636,,0,
A261,ст.м "Контрактова пл.",50.466881,30.513777,,0,
A262,просп. Свободи (вис.),50.514721,30.421677,,0,
A266,вул.Жолудєва,50.414658,30.39476,,0,
A267,вул. Вишгородська,50.505867,30.449892,,0,
A268,3 мікрорайон,50.501278,30.504116,,0,
A269,к-тр Братіслава,50.495777,30.516752,,0,
A271,ст.м. "Дорогожичі",50.472855,30.451235,,0,
A275,з-д Квазар,50.489761,30.419228,,0,
A276,к-тр Кадр,50.497551,30.455563,,0,
A277,ст.м. "Нивки",50.459816,30.405834,,0,
A278,Бібліотека -47,50.469849,30.420212,,0,
A279,ст.м. "Сирець",50.476547,30.429007,,0,
A280,АП-5,50.489697,30.386322,,0,
A281,АП-1,50.396702,30.4944,,0,
A288,Лісорозсадник,50.500072,30.364874,,0,
A29,вул. Сабурова,50.512165,30.61537,,0,
A292,вул. Симиренка,50.407379,30.407003,,0,
A293,сан.Лісова поляна,50.547424,30.361887,,0,
A294,Радіологічний центр,50.542255,30.355936,,0,
A296,а/с Дачна,50.45491,30.351742,,0,
A297,поворот на с/к Чайку,50.452358,30.313135,,0,
A299,сан. Ветеранів ВВв,50.441898,30.281334,,0,
A3,Героїв Сталінграду,50.488132,30.522903,,0,
A30,ТЕЦ-6,50.52961,30.664198,,0,
A300,пансіонат Чайка,50.446655,30.312935,,0,
A301,с/к Чайка,50.436306,30.306112,,0,
A302,ст.м. "Святошин",50.457012,30.387854,,0,
A303,м-в Новобіличі (ринок),50.470566,30.337332,,0,
A306,Жуляни-2,50.386765,30.435453,,0,
A307,вул.Московська (Жуляни),50.391884,30.457254,,0,
A31,вул. Булгакова ,50.411983,30.411001,,0,
A311,ст.м. "Лівобережна",50.450226,30.597851,,0,
A312,пл.  Дарн.,50.441067,30.627821,,0,
A313,вул. Тепловозна,50.427391,30.636559,,0,
A314,ст.м. "Осокорки",50.395607,30.617159,,0,
A315,м. Лісова,50.466965,30.646172,,0,
A316,Радіоцентр,50.485626,30.669174,,0,
A317,ст.м. "Дарниця",50.455521,30.613882,,0,
A318,Бот. Сад,50.415516,30.556578,,0,
A319,ст.м. "Арсенальна",50.443325,30.545149,,0,
A32,вул. Чумака,50.440258,30.408739,,0,
