route_id,service_id,trip_id,trip_headsign,block_id
A129,W1,A109441_0,Залізничний вокзал ,A109441
A129,W1,A109441_1,Львівська площа,A109441
A129,W1,A109441_10,Залізничний вокзал ,A109441
A129,W1,A109441_11,Львівська площа,A109441
A129,W1,A109441_12,Залізничний вокзал ,A109441
A129,W1,A109441_13,Львівська площа,A109441
A129,W1,A109441_14,Залізничний вокзал ,A109441
A129,W1,A109441_15,Львівська площа,A109441
A129,W1,A109441_16,Залізничний вокзал ,A109441
A129,W1,A109441_17,Львівська площа,A109441
A129,W1,A109441_18,Залізничний вокзал ,A109441
A129,W1,A109441_19,Львівська площа,A109441
A129,W1,A109441_2,Залізничний вокзал ,A109441
A129,W1,A109441_20,Залізничний вокзал ,A109441
A129,W1,A109441_21,Львівська площа,A109441
A129,W1,A109441_22,Залізничний вокзал ,A109441
A129,W1,A109441_23,Львівська площа,A109441
A129,W1,A109441_24,Залізничний вокзал ,A109441
A129,W1,A109441_3,Львівська площа,A109441
A129,W1,A109441_4,Залізничний вокзал ,A109441
A129,W1,A109441_5,Львівська площа,A109441
A129,W1,A109441_6,Залізничний вокзал ,A109441
A129,W1,A109441_7,Львівська площа,A109441
A129,W1,A109441_8,Залізничний вокзал ,A109441
A129,W1,A109441_9,Львівська площа,A109441
A129,W1,A109442_-99,АП-5,A109442
A129,W1,A109442_1,Львівська площа,A109442
A129,W1,A109442_10,Залізничний вокзал ,A109442
A129,W1,A109442_11,Львівська площа,A109442
A129,W1,A109442_12,Залізничний вокзал ,A109442
A129,W1,A109442_13,Львівська площа,A109442
A129,W1,A109442_14,Залізничний вокзал ,A109442
A129,W1,A109442_15,Львівська площа,A109442
A129,W1,A109442_16,Залізничний вокзал ,A109442
A129,W1,A109442_17,Львівська площа,A109442
A129,W1,A109442_18,Залізничний вокзал ,A109442
A129,W1,A109442_19,Львівська площа,A109442
A129,W1,A109442_2,Залізничний вокзал ,A109442
A129,W1,A109442_20,Залізничний вокзал ,A109442
A129,W1,A109442_21,Львівська площа,A109442
A129,W1,A109442_22,Залізничний вокзал ,A109442
A129,W1,A109442_23,Львівська площа,A109442
A129,W1,A109442_24,Залізничний вокзал ,A109442
A129,W1,A109442_25,Львівська площа,A109442
A129,W1,A109442_3,Львівська площа,A109442
A129,W1,A109442_4,Залізничний вокзал ,A109442
A129,W1,A109442_5,Львівська площа,A109442
A129,W1,A109442_6,Залізничний вокзал ,A109442
A129,W1,A109442_7,Львівська площа,A109442
A129,W1,A109442_8,Залізничний вокзал ,A109442
A129,W1,A109442_9,Львівська площа,A109442
A2,W1,A113634_0,Одеська площа,A113634
A2,W1,A113634_10,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_11,Одеська площа,A113634
A2,W1,A113634_12,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_13,Одеська площа,A113634
A2,W1,A113634_14,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_2,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_3,Одеська площа,A113634
A2,W1,A113634_4,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_5,Одеська площа,A113634
A2,W1,A113634_6,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_7,Одеська площа,A113634
A2,W1,A113634_8,ст.м. "Голосіївська" (1),A113634
A2,W1,A113634_9,Одеська площа,A113634
A2,W1,A113635_-99,АП-2,A113635
A2,W1,A113635_1,Одеська площа,A113635
A2,W1,A113635_2,ст.м. "Голосіївська" (1),A113635
A2,W1,A113635_3,Одеська площа,A113635
A2,W1,A113635_4,ст.м. "Голосіївська" (1),A113635
A2,W1,A113635_5,Одеська площа,A113635
A2,W1,A113635_6,ст.м. "Голосіївська" (1),A113635
A81,W1,A113698_0,селище Жовтневе,A113698
A81,W1,A113698_1,ст.м. "Голосіївська",A113698
A81,W1,A113698_10,селище Жовтневе,A113698
A81,W1,A113698_11,ст.м. "Голосіївська",A113698
A81,W1,A113698_12,селище Жовтневе,A113698
A81,W1,A113698_13,ст.м. "Голосіївська",A113698
A81,W1,A113698_14,селище Жовтневе,A113698
A81,W1,A113698_15,ст.м. "Голосіївська",A113698
A81,W1,A113698_16,селище Жовтневе,A113698
A81,W1,A113698_17,ст.м. "Голосіївська",A113698
A81,W1,A113698_18,селище Жовтневе,A113698
A81,W1,A113698_19,ст.м. "Голосіївська",A113698
A81,W1,A113698_2,селище Жовтневе,A113698
A81,W1,A113698_20,селище Жовтневе,A113698
A81,W1,A113698_21,ст.м. "Голосіївська",A113698
A81,W1,A113698_22,селище Жовтневе,A113698
A81,W1,A113698_23,ст.м. "Голосіївська",A113698
A81,W1,A113698_3,ст.м. "Голосіївська",A113698
A81,W1,A113698_4,селище Жовтневе,A113698
A81,W1,A113698_5,ст.м. "Голосіївська",A113698
A81,W1,A113698_6,селище Жовтневе,A113698
A81,W1,A113698_7,ст.м. "Голосіївська",A113698
A81,W1,A113698_8,селище Жовтневе,A113698
A81,W1,A113698_9,ст.м. "Голосіївська",A113698
A81,W1,A113699_-99,АП-2,A113699
A81,W1,A113699_10,селище Жовтневе,A113699
A81,W1,A113699_11,ст.м. "Голосіївська",A113699
A81,W1,A113699_12,селище Жовтневе,A113699
A81,W1,A113699_13,ст.м. "Голосіївська",A113699
A81,W1,A113699_14,селище Жовтневе,A113699
A81,W1,A113699_15,ст.м. "Голосіївська",A113699
A81,W1,A113699_16,селище Жовтневе,A113699
A81,W1,A113699_17,ст.м. "Голосіївська",A113699
A81,W1,A113699_18,селище Жовтневе,A113699
A81,W1,A113699_19,ст.м. "Голосіївська",A113699
A81,W1,A113699_2,селище Жовтневе,A113699
A81,W1,A113699_20,селище Жовтневе,A113699
A81,W1,A113699_21,ст.м. "Голосіївська",A113699
A81,W1,A113699_22,селище Жовтневе,A113699
A81,W1,A113699_23,ст.м. "Голосіївська",A113699
A81,W1,A113699_3,ст.м. "Голосіївська",A113699
A81,W1,A113699_4,селище Жовтневе,A113699
A81,W1,A113699_5,ст.м. "Голосіївська",A113699
A81,W1,A113699_6,селище Жовтневе,A113699
A81,W1,A113699_7,ст.м. "Голосіївська",A113699
A81,W1,A113699_8,селище Жовтневе,A113699
A81,W1,A113699_9,ст.м. "Голосіївська",A113699
A107,W1,A113714_0,ст.м. "Либідська",A113714
A107,W1,A113714_1,вул. Закарпатська,A113714
A107,W1,A113714_10,ст.м. "Либідська",A113714
A107,W1,A113714_11,вул. Закарпатська,A113714
A107,W1,A113714_12,ст.м. "Либідська",A113714
A107,W1,A113714_13,вул. Закарпатська,A113714
A107,W1,A113714_14,ст.м. "Либідська",A113714
A107,W1,A113714_2,ст.м. "Либідська",A113714
A107,W1,A113714_3,вул. Закарпатська,A113714
A107,W1,A113714_4,ст.м. "Либідська",A113714
A107,W1,A113714_5,вул. Закарпатська,A113714
A107,W1,A113714_6,ст.м. "Либідська",A113714
A107,W1,A113714_7,вул. Закарпатська,A113714
A107,W1,A113714_8,ст.м. "Либідська",A113714
A107,W1,A113714_9,вул. Закарпатська,A113714
A107,W1,A113715_-99,АП-2,A113715
A107,W1,A113715_1,вул. Закарпатська,A113715
A107,W1,A113715_10,ст.м. "Либідська",A113715
A107,W1,A113715_11,вул. Закарпатська,A113715
A107,W1,A113715_12,ст.м. "Либідська",A113715
A107,W1,A113715_13,вул. Закарпатська,A113715
A107,W1,A113715_14,ст.м. "Либідська",A113715
A107,W1,A113715_15,вул. Закарпатська,A113715
A107,W1,A113715_16,ст.м. "Либідська",A113715
A107,W1,A113715_2,ст.м. "Либідська",A113715
A107,W1,A113715_3,вул. Закарпатська,A113715
A107,W1,A113715_4,ст.м. "Либідська",A113715
A107,W1,A113715_5,вул. Закарпатська,A113715
A107,W1,A113715_6,ст.м. "Либідська",A113715
A107,W1,A113715_7,вул. Закарпатська,A113715
A107,W1,A113715_8,ст.м. "Либідська",A113715
A107,W1,A113715_9,вул. Закарпатська,A113715
A16,W1,A113738_-99,АП-2,A113738
A16,W1,A113738_0,ст.м. "Лівобережна",A113738
A16,W1,A113738_1,Русанівські сади,A113738
A16,W1,A113738_10,ст.м. "Лівобережна",A113738
A16,W1,A113738_11,Русанівські сади,A113738
A16,W1,A113738_12,ст.м. "Лівобережна",A113738
A16,W1,A113738_2,ст.м. "Лівобережна",A113738
A16,W1,A113738_3,Русанівські сади,A113738
A16,W1,A113738_4,ст.м. "Лівобережна",A113738
A16,W1,A113738_5,Русанівські сади,A113738
A16,W1,A113738_6,ст.м. "Лівобережна",A113738
A16,W1,A113738_7,Русанівські сади,A113738
A16,W1,A113738_8,ст.м. "Лівобережна",A113738
A16,W1,A113738_9,Русанівські сади,A113738
A16,W1,A113739_-99,АП-2,A113739
A16,W1,A113739_0,ст.м. "Лівобережна",A113739
A16,W1,A113739_1,Русанівські сади,A113739
A16,W1,A113739_10,ст.м. "Лівобережна",A113739
A16,W1,A113739_11,Русанівські сади,A113739
A16,W1,A113739_12,ст.м. "Лівобережна",A113739
A16,W1,A113739_2,ст.м. "Лівобережна",A113739
A16,W1,A113739_3,Русанівські сади,A113739
A16,W1,A113739_4,ст.м. "Лівобережна",A113739
A16,W1,A113739_5,Русанівські сади,A113739
A16,W1,A113739_6,ст.м. "Лівобережна",A113739
A16,W1,A113739_7,Русанівські сади,A113739
A16,W1,A113739_8,ст.м. "Лівобережна",A113739
A16,W1,A113739_9,Русанівські сади,A113739
A98,W1,A120058_0,ст.м. "Нивки",A120058
A98,W1,A120058_1,ст.м. "Дорогожичі",A120058
A98,W1,A120058_10,ст.м. "Нивки",A120058
A98,W1,A120058_11,ст.м. "Дорогожичі",A120058
A98,W1,A120058_12,ст.м. "Нивки",A120058
A98,W1,A120058_13,ст.м. "Дорогожичі",A120058
A98,W1,A120058_14,ст.м. "Нивки",A120058
A98,W1,A120058_15,ст.м. "Дорогожичі",A120058
A98,W1,A120058_16,ст.м. "Нивки",A120058
A98,W1,A120058_2,ст.м. "Нивки",A120058
A98,W1,A120058_3,ст.м. "Дорогожичі",A120058
A98,W1,A120058_4,ст.м. "Нивки",A120058
A98,W1,A120058_5,ст.м. "Дорогожичі",A120058
A98,W1,A120058_6,ст.м. "Нивки",A120058
A98,W1,A120058_7,ст.м. "Дорогожичі",A120058
A98,W1,A120058_8,ст.м. "Нивки",A120058
A98,W1,A120058_9,ст.м. "Дорогожичі",A120058
A98,W1,A120059_-99,АП-5,A120059
A98,W1,A120059_1,ст.м. "Дорогожичі",A120059
A98,W1,A120059_10,ст.м. "Нивки",A120059
A98,W1,A120059_11,ст.м. "Дорогожичі",A120059
A98,W1,A120059_12,ст.м. "Нивки",A120059
